ID,Y,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
NO1861,0,1,8,6,1,15,27,21,23,19,0,0,31,82,631,1,163,623,0.054,137,88
NO1862,0,4,3,2,1,17,44,44,44,23,0,0,22,37,177,2,0,186,0,15,15
NO1863,0,197,18,6,25,121,771,375,767,174,2,0,40,31,443,0,0,41,0,246,246
NO1864,0,60,5,3,0,89,824,113,661,103,3,0,23,122,727,0,0,43,0,531,175
NO1865,0,3,1,1,0,65,5544,24,290,66,0,0,21,55,153,3,64,129,0.0444,384,141
NO1866,0,52,41,19,8,212,1982,197,1049,248,1,1,20,91,466,3,0,485,0,230,39
NO1867,0,42,24,12,0,124,1482,157,682,143,0,0,26,63,325,0,0,368,0,193,193
NO1868,0,55,11,3,0,138,1653,92,674,149,0,2,21,49,299,3,59,324,0.0586,30,28
NO1869,0,198,18,14,4,227,1757,225,1390,287,0,0,26,78,431,1,17,328,0.0137,300,158
NO1870,0,53,12,8,1,134,1466,61,778,149,1,0,24,59,224,0,15,45,0.0363,422,229
NO1871,0,122,51,9,3,166,3362,113,739,198,5,0,39,46,513,0,36,540,0.0256,971,199
NO1872,0,59,18,11,1,140,1368,119,819,159,1,0,27,47,71,0,0,71,0,8,8
NO1873,0,27,8,1,1,151,753,62,514,166,0,0,27,75,531,0,0,576,0,180,180
NO1874,0,3,0,0,0,12,30,17,19,15,0,2,26,42,188,2,74,13,0.0881,718,237
NO1875,0,44,9,5,2,38,258,220,258,63,0,0,36,63,298,1,1,306,0.0032,188,188
NO1876,0,0,0,0,0,24,159,8,151,24,0,0,25,24,633,3,54,674,0.0222,107,92
NO1877,0,8,7,2,1,79,1190,74,244,86,1,0,24,28,375,1,0,320,0,44,34
NO1878,1,383,91,31,25,231,2872,593,1471,275,0,0,25,97,789,0,0,798,0,124,124
NO1879,0,17,0,0,1,79,376,74,333,86,2,2,40,51,931,0,14,981,0.005,1887,187
NO1880,0,40,4,4,3,102,354,90,335,118,1,0,37,100,1444,0,0,1491,0,256,229
NO1881,0,12,3,1,0,195,2091,98,785,202,0,0,23,57,291,0,0,288,0,1711,1663
NO1882,0,15,2,2,2,60,244,54,237,65,0,0,40,25,461,0,57,474,0.0535,591,92
NO1883,0,32,23,12,0,111,3024,62,463,132,0,0,24,50,230,0,2,221,0.0084,445,49
NO1884,0,3,0,0,0,32,121,73,114,35,0,0,37,15,140,1,0,9,0,28,28
NO1885,0,50,10,7,3,76,283,198,236,97,0,0,23,17,247,1,0,99,0,33,26
NO1886,0,0,0,0,0,4,27,9,9,4,0,0,25,57,1060,1,19,1075,0.0088,1404,77
NO1887,0,66,25,8,6,141,6437,142,1118,171,1,0,21,43,335,0,0,362,0,2720,371
NO1888,0,15,3,2,3,183,1245,71,527,187,15,0,36,54,2921,0,0,2838,0,586,421
NO1889,0,32,4,2,0,90,1174,42,359,102,0,0,30,47,294,0,2041,301,0.0153,381,318
NO1890,0,93,19,10,1,107,1042,99,595,124,3,0,22,66,357,3,12,101,0.0247,637,137
NO1891,0,15,0,0,0,10,58,14,41,13,0,0,21,58,556,4,0,35,0,136,43
NO1892,0,106,26,7,6,162,1689,102,782,206,12,0,32,68,2139,7,0,2161,0,1092,722
NO1893,0,153,8,3,11,233,3108,172,808,321,0,0,32,71,1794,0,11,130,0.002,2338,374
NO1894,0,38,2,2,0,97,198,52,197,128,1,0,40,19,956,0,3,979,0.002,3,3
NO1895,0,152,24,7,8,206,6728,168,1168,224,0,1,27,82,932,2,0,455,0,1479,232
NO1896,0,48,13,4,0,124,2092,154,804,139,0,1,24,84,415,1,0,358,0,452,18
NO1897,0,33,5,3,0,52,1369,81,361,58,4,0,26,56,110,1,23,126,0.0391,389,40
NO1898,0,14,0,0,1,17,79,32,73,26,0,0,29,53,125,0,20,126,0.0714,199,108
NO1899,0,18,0,0,0,26,150,14,64,31,0,0,35,53,314,1,0,224,0,516,417
NO1900,0,0,1,0,0,1,15,7,7,1,0,0,38,53,300,0,102,53,0.0556,161,132
NO1901,0,75,13,7,2,150,3852,134,807,179,5,0,30,49,565,1,0,388,0,3136,493
NO1902,0,3,1,1,0,9,13,12,12,13,0,1,24,42,229,0,0,233,0,100,100
NO1903,0,25,0,0,1,103,252,43,227,118,0,0,38,37,526,0,0,543,0,228,228
NO1904,0,10,5,3,2,59,275,116,214,66,0,0,28,34,583,1,0,587,0,2,2
NO1905,0,35,3,2,3,105,332,64,311,116,0,0,30,31,1386,1,0,7204,0,124,124
NO1906,0,223,126,41,5,209,8435,452,2171,262,1,0,27,105,481,0,0,488,0,1621,116
NO1907,0,13,4,3,0,77,446,174,378,82,0,1,37,50,89,1,0,95,0,26,26
NO1908,0,2,1,1,0,16,1090,3,323,18,0,0,33,50,395,0,0,460,0,46,28
NO1909,0,2,0,0,0,9,17,3,12,11,0,0,40,112,3161,0,34,2663,0.0044,756,416
NO1910,0,37,19,9,0,165,619,118,595,184,2,0,20,32,265,1,0,284,0,89,89
NO1911,0,107,15,6,1,137,1281,112,1003,167,59,1,20,88,321,1,0,337,0,95,95
NO1912,0,37,4,2,2,123,1338,127,265,140,0,0,38,38,782,0,37,821,0.0266,,
NO1913,0,67,4,1,0,150,2967,74,640,162,0,0,37,60,537,0,0,235,0,159,118
NO1914,0,134,59,22,2,162,4319,287,969,202,1,0,26,147,158,0,2,60,0.0112,170,65
NO1915,0,46,11,5,2,133,1083,115,485,154,12,0,27,62,477,0,0,292,0,264,236
NO1916,0,0,0,0,0,6,375,18,172,6,0,0,26,19,258,0,0,370,0,176,163
NO1917,0,107,39,16,5,184,1206,130,912,201,0,0,27,59,333,1,35,106,0.0293,637,348
NO1918,0,7,1,1,1,45,167,37,159,53,0,0,29,78,145,0,2,146,0.0137,309,107
NO1919,0,131,21,10,1,119,2515,93,802,143,4,0,48,35,168,0,35,152,0.0941,730,422
NO1920,0,132,17,9,5,138,2174,212,790,175,23,0,25,53,173,1,0,29,0,1062,735
NO1921,0,101,17,7,1,186,816,121,569,246,0,1,27,119,899,0,0,931,0,740,703
NO1922,0,1,7,0,0,49,616,41,261,49,0,0,45,59,193,0,0,69,0,884,779
NO1923,0,2,0,0,0,16,144,143,143,17,0,0,29,34,544,0,0,565,0,14,14
NO1924,0,6,0,0,2,178,1432,116,1078,185,0,1,21,44,313,3,40,272,0.0361,432,189
NO1925,0,6,2,1,0,39,745,41,184,44,0,0,33,34,164,1,0,56,0,805,257
NO1926,1,305,255,14,32,223,4053,352,2469,267,0,0,36,96,916,1,0,17,0,352,251
NO1927,0,147,24,15,10,263,7572,396,1924,316,0,1,25,115,597,0,0,615,0,2396,893
NO1928,0,10,6,2,0,65,292,43,237,69,0,0,42,47,160,0,4,126,0.0164,653,297
NO1929,0,84,3,0,0,157,2181,74,539,207,0,0,21,43,404,0,0,328,0,942,266
NO1930,0,1,0,0,0,32,409,23,34,33,0,0,25,58,540,0,0,140,0,648,499
NO1931,0,4,1,1,0,65,218,97,211,68,1,1,30,41,273,0,48,34,0.0588,220,65
NO1932,0,6,6,4,0,20,47,47,47,29,4,0,24,60,259,2,0,267,0,276,105
NO1933,0,7,2,1,1,25,174,48,68,31,5,0,28,150,324,2,0,279,0,1207,775
NO1934,0,121,24,13,20,190,3332,230,1259,224,0,1,24,80,541,2,46,558,0.0228,695,205
NO1935,0,34,12,4,2,46,150,138,148,60,2,0,33,64,300,1,9,324,0.015,942,271
NO1936,0,7,1,1,1,12,76,11,25,19,0,0,46,36,233,2,0,98,0,690,130
NO1937,0,0,0,0,0,5,8,5,8,5,0,0,34,44,499,0,111,48,0.0363,121,90
NO1938,0,12,0,0,2,19,305,39,103,25,1,0,21,39,545,0,18,583,0.0137,257,50
NO1939,0,0,1,1,1,5,10,10,10,7,0,0,37,22,625,4,41,255,0.0268,116,78
NO1940,0,10,4,2,0,147,1378,86,559,157,0,0,29,25,322,1,42,117,0.034,462,454
NO1941,0,20,7,3,4,77,303,146,270,90,0,0,35,47,940,2,0,545,0,,
NO1942,0,81,73,9,3,195,1120,241,750,221,19,0,37,72,398,0,8,91,0.0122,307,307
NO1943,0,129,14,5,2,173,4651,225,1034,197,0,1,30,110,200,0,0,180,0,1015,125
NO1944,0,141,8,6,2,137,924,219,486,199,23,0,27,69,1261,0,10,926,0.0046,1499,93
NO1945,0,108,38,6,2,180,3841,119,983,207,0,1,26,29,283,0,34,304,0.0393,1168,373
NO1946,0,42,2,2,1,102,613,58,347,118,0,0,35,33,183,2,210,93,0.1237,229,97
NO1947,0,2,2,1,0,16,320,34,141,19,0,0,49,37,387,0,93,111,0.0529,584,271
NO1948,0,4,0,0,0,89,19710,303,1445,90,0,0,26,51,855,1,2534,320,0.0751,696,99
NO1949,0,70,28,5,3,104,1688,71,528,118,0,0,35,58,419,0,0,323,0,267,133
NO1950,0,33,14,2,1,133,3046,71,681,143,2,0,29,27,695,0,0,363,0,1586,288
NO1951,0,0,0,0,0,38,664,50,325,38,0,0,35,78,955,1,293,954,0.0605,595,436
NO1952,0,48,16,5,2,196,1437,77,949,215,1,0,34,50,181,2,0,182,0,279,279
NO1953,0,109,38,24,9,175,2647,510,1159,211,1,0,36,127,113,0,26,125,0.04,413,212
NO1954,0,36,4,2,3,240,1704,88,825,256,2,0,33,43,306,0,0,312,0,276,152
NO1955,0,4,2,1,0,25,585,70,522,26,0,2,29,30,243,0,2,104,0.0079,38,38
NO1956,0,0,0,0,0,17,162,14,33,17,0,1,39,57,268,1,0,12,0,600,79
NO1957,0,232,33,17,13,165,3947,416,1201,209,1,0,31,100,565,0,0,130,0,1677,315
NO1958,0,1,0,0,0,16,116,89,93,17,10,1,27,70,243,0,0,59,0,424,247
NO1959,0,1,0,0,0,15,176,48,173,16,0,0,26,43,80,0,0,39,0,59,59
NO1960,0,68,17,7,4,131,1609,59,527,154,1,0,29,52,365,3,690,374,0.0293,554,172
NO1961,0,2,0,0,0,0,2,2,2,2,0,0,26,24,181,0,0,41,0,100,72
NO1962,0,147,23,15,8,198,1096,156,638,279,3,1,27,154,265,2,0,29,0,245,206
NO1963,0,14,9,5,1,52,1318,0,398,56,0,0,26,84,573,1,0,634,0,2,2
NO1964,0,47,13,5,1,259,2288,219,993,286,4,0,21,95,2140,1,72,2241,0.0152,664,336
NO1965,0,0,0,0,0,9,11,11,11,9,0,0,37,57,1042,0,75,92,0.0202,138,7
NO1966,0,60,12,10,3,94,346,139,336,121,0,0,32,51,454,1,0,470,0,1600,914
NO1967,0,2,0,0,0,34,78,45,57,37,1,0,22,22,171,3,38,170,0.082,81,53
NO1968,0,111,13,6,0,154,2531,75,504,181,1,1,32,75,205,1,0,208,0,690,690
NO1969,0,104,43,9,3,198,3548,242,1229,224,9,0,30,84,331,0,16,147,0.022,1035,550
NO1970,0,204,45,18,6,173,2675,343,1048,262,0,1,32,83,400,2,491,440,0.0316,1050,116
NO1971,0,43,6,3,3,68,910,46,386,76,0,0,40,25,738,0,22,750,0.0133,31,27
NO1972,0,9,14,6,1,25,281,27,166,34,1,0,35,30,553,2,69,54,0.0314,621,91
NO1973,0,15,0,0,0,44,76,38,74,58,0,1,46,24,511,0,0,534,0,129,129
NO1974,1,520,84,24,13,304,3082,455,1759,419,4,0,38,187,783,1,0,810,0,240,164
NO1975,0,85,9,7,4,144,624,313,586,175,2,0,24,70,366,2,23,319,0.0207,228,213
NO1976,0,72,24,6,3,166,501,111,451,210,0,1,33,41,756,0,0,809,0,132,132
NO1977,0,12,5,2,1,95,1434,38,449,103,0,0,27,46,887,1,15,704,0.0031,369,91
NO1978,0,19,0,0,0,144,578,52,277,162,0,0,21,39,585,1,15,26,0.0176,35,28
NO1979,0,78,8,6,3,136,1833,197,574,169,1,0,31,54,826,1,0,894,0,975,192
NO1980,0,0,4,1,0,3,10,8,9,5,0,0,38,23,205,2,0,21,0,205,178
NO1981,0,12,0,0,0,13,156,5,37,18,0,0,40,26,877,4,18,93,0.0072,726,25
NO1982,0,169,69,17,8,220,4966,182,1620,267,1,0,21,99,402,0,27,363,0.0205,58,58
NO1983,0,77,28,11,7,176,1785,253,943,202,0,0,51,95,409,9,0,225,0,52,21
NO1984,0,20,5,1,1,101,2577,147,459,113,7,0,21,39,1182,1,20,1240,0.0081,56,49
NO1985,0,1,0,0,0,24,3411,54,142,27,1,0,22,52,1364,2,0,1390,0,711,311
NO1986,0,2,0,0,1,27,508,38,97,30,0,0,26,55,806,0,0,845,0,209,104
NO1987,0,16,1,1,0,33,93,61,74,45,1,1,33,63,348,3,0,22,0,90,27
NO1988,0,1,3,0,1,42,823,12,140,42,0,0,21,32,2061,4,0,0,0,20,0
NO1989,0,19,10,4,1,102,399,43,353,116,0,0,23,38,727,3,2,324,0.0026,144,144
NO1990,0,100,34,10,2,128,501,132,492,175,1,0,26,32,546,1,2,559,0.0036,46,46
NO1991,0,7,2,1,0,14,51,38,41,19,2,0,25,29,178,0,3,131,0.0168,147,53
NO1992,0,18,8,2,0,59,638,307,634,67,10,0,26,29,97,0,0,120,0,79,79
NO1993,0,128,4,4,1,198,921,140,859,250,0,0,32,66,443,2,0,472,0,1304,1304
NO1994,0,17,1,1,2,25,9145,91,1786,39,1,0,22,33,252,0,0,10,0,4,4
NO1995,0,3,3,1,0,16,71,22,39,16,1,0,30,46,274,3,0,99,0,156,77
NO1996,0,11,0,0,1,23,74,27,60,32,0,0,29,94,593,2,0,608,0,378,196
NO1997,0,10,12,5,4,36,304,38,70,49,0,0,21,40,226,1,0,8,0,50,49
NO1998,0,57,6,2,2,148,2790,178,1437,155,4,0,30,49,271,0,12,202,0.0274,311,311
NO1999,0,12,4,3,0,54,132,110,132,64,0,0,34,40,375,0,0,252,0,5,5
NO2000,0,17,2,2,3,136,646,71,507,143,0,1,27,25,231,1,9,236,0.0297,89,18
NO2001,0,207,49,14,3,274,3705,157,969,381,0,0,35,101,533,0,0,532,0,1227,570
NO2002,0,64,1,1,2,74,248,127,243,108,1,0,23,80,107,2,0,108,0,119,74
NO2003,0,3,1,1,0,71,231,171,231,74,0,1,31,31,362,1,0,374,0,3,1
NO2004,0,9,1,1,1,35,151,23,88,43,0,0,28,59,925,1,0,992,0,63,48
NO2005,0,3,0,0,1,18,141,28,59,22,0,0,33,72,184,2,0,69,0,141,134
NO2006,0,43,9,4,1,45,660,21,232,62,0,0,26,29,444,1,9,297,0.0106,429,388
NO2007,0,137,90,10,5,159,1872,120,623,197,0,0,24,45,825,0,0,706,0,226,134
NO2008,0,102,26,5,2,121,3622,94,913,154,1,0,24,44,293,1,0,304,0,568,254
NO2009,0,34,17,6,1,198,5871,153,1021,211,1,0,29,68,2724,1,0,2792,0,2223,221
NO2010,0,6,5,1,0,32,72,63,63,34,0,0,40,21,504,0,0,531,0,67,67
NO2011,0,0,0,0,0,29,63,1,46,31,0,1,30,24,463,0,53,34,0.0192,71,71
NO2012,0,75,1,1,0,149,541,137,350,178,1,0,30,48,452,1,27,358,0.0346,131,131
NO2013,0,43,8,3,3,172,3378,109,595,188,0,0,36,47,767,1,0,797,0,3643,423
NO2014,0,16,7,4,0,120,1955,168,594,129,0,0,26,61,414,1,65,126,0.0375,1198,1198
NO2015,1,521,182,48,25,319,3579,387,2195,424,1,0,30,113,363,1,0,384,0,39,38
NO2016,0,4,2,1,1,51,429,29,93,56,0,0,29,28,242,1,10,246,0.0163,1,0
NO2017,0,12,8,3,0,71,994,54,245,73,0,0,31,46,785,0,120,444,0.0228,944,35
NO2018,0,2,0,0,0,1,13,2,2,3,0,0,24,66,180,0,0,178,0,187,132
NO2019,0,54,1,1,1,81,2064,39,441,101,0,0,21,64,470,0,21,373,0.0255,626,191
NO2020,0,25,3,3,2,84,346,152,330,92,2,0,26,45,128,2,0,137,0,112,112
NO2021,0,5,2,2,0,58,111,45,105,63,0,1,41,45,517,7,0,581,0,633,632
NO2022,0,74,8,3,8,144,609,113,525,165,3,0,29,34,546,0,14,544,0.0126,207,207
NO2023,1,260,44,10,6,223,4403,256,1079,316,5,0,27,66,376,0,0,189,0,826,826
NO2024,0,0,1,1,0,25,162,97,156,26,0,0,25,51,297,0,38,59,0.0444,799,154
NO2025,0,2,0,0,0,7,14,14,14,10,0,1,38,21,296,3,4493,27,0.4307,66,59
NO2026,0,1,0,0,0,6,9,9,9,7,0,0,27,29,237,0,19,11,0.0412,89,11
NO2027,0,15,24,1,3,41,710,57,104,49,0,0,28,39,441,0,0,156,0,471,471
NO2028,0,11,11,5,0,126,3807,477,1873,139,10,0,20,59,602,1,0,643,0,335,335
NO2029,0,49,6,1,1,93,421,59,266,117,0,0,27,35,339,2,0,110,0,40,40
NO2030,0,21,5,3,0,93,525,81,524,104,1,0,26,44,128,2,38,114,0.0534,178,126
NO2031,0,61,19,8,1,126,3033,147,919,150,0,0,22,63,485,1,0,446,0,225,105
NO2032,0,186,38,9,0,273,2569,193,1121,379,1,0,31,41,379,1,23,397,0.0302,150,150
NO2033,0,1,0,0,0,22,80,13,30,23,0,0,33,20,209,1,21,62,0.0308,1270,840
NO2034,0,10,0,0,0,77,449,70,276,81,6,0,33,28,383,0,5,372,0.0101,1862,1861
NO2035,0,27,8,3,1,36,1358,62,299,43,3,0,24,36,193,1,0,225,0,553,273
NO2036,0,5,14,5,2,77,2269,99,351,81,14,0,21,61,840,0,0,623,0,1199,606
NO2037,0,5,1,1,0,24,777,282,404,25,0,0,23,26,235,0,15,45,0.0248,1925,468
NO2038,0,27,5,3,0,126,368,108,354,136,3,0,23,71,545,1,19,56,0.0159,144,144
NO2039,0,120,18,7,3,147,469,95,465,216,2,0,29,32,95,0,0,97,0,70,70
NO2040,0,6,7,4,1,39,94,87,87,45,0,0,50,57,772,0,0,833,0,14,14
NO2041,0,4,3,2,0,15,79,16,25,18,0,0,34,27,227,1,10,179,0.0216,,
NO2042,0,41,6,4,1,131,915,249,849,137,0,0,25,71,118,2,1,110,0.0067,125,125
NO2043,0,0,0,0,0,7,24,10,14,7,0,0,31,31,978,1,0,990,0,351,263
NO2044,0,0,1,1,0,5,221,5,25,6,0,0,37,14,91,0,4,11,0.0181,21,21
NO2045,0,32,2,2,2,21,85,70,76,35,0,1,27,55,182,2,219,185,0.1027,45,17
NO2046,0,144,43,20,11,222,939,473,887,276,1,0,47,58,595,1,7,671,0.003,8,7
NO2047,0,82,25,9,4,166,4764,131,1190,193,14,0,26,54,610,0,106,537,0.0598,2255,1494
NO2048,0,65,3,3,2,133,898,185,405,189,0,0,49,23,1547,0,1,1612,0.0006,103,52
NO2049,0,34,8,2,0,91,1372,38,256,117,4,0,33,17,231,5,5,125,0.0163,37,36
NO2050,0,7,5,1,0,26,245,11,49,28,0,0,25,34,543,0,0,537,0,172,74
NO2051,0,1,1,1,0,17,63,9,63,18,0,0,21,37,403,1,0,436,0,84,84
NO2052,0,8,5,4,2,54,242,137,205,59,6,0,24,40,338,1,0,354,0,100,100
NO2053,0,3,1,1,0,85,1064,77,354,86,0,0,23,23,310,0,0,104,0,266,216
NO2054,0,74,14,13,0,119,412,167,329,169,0,0,38,52,162,1,3,208,0.0144,97,97
NO2055,0,113,9,5,2,149,3453,213,849,163,5,0,21,74,400,0,0,406,0,871,234
NO2056,0,8,6,2,0,40,82,31,72,43,1,0,33,51,297,1,100,253,0.0712,132,64
NO2057,0,2,0,0,0,18,121,15,22,20,0,1,42,77,1295,0,0,1345,0,915,98
NO2058,0,46,12,4,0,143,501,103,499,157,0,0,23,60,192,4,0,220,0,347,340
NO2059,0,96,8,1,0,149,1709,74,587,166,3,0,26,15,247,0,42,262,0.034,342,285
NO2060,0,6,0,0,0,40,81,72,72,43,0,0,27,24,165,0,13,67,0.044,92,52
NO2061,0,90,11,5,0,201,3555,115,796,232,2,0,27,37,271,0,0,281,0,999,353
NO2062,0,0,0,0,1,11,22,10,15,13,0,0,40,56,553,2,0,171,0,76,75
NO2063,0,27,0,0,0,99,1651,77,288,107,0,0,34,86,204,1,203,17,0.0183,104,103
NO2064,0,1,1,1,0,2,13,13,13,5,0,0,36,21,170,1,32,146,0.0815,917,126
NO2065,0,5,6,1,0,67,194,97,181,71,0,0,25,37,162,3,3,181,0.0054,46,46
NO2066,0,32,10,4,0,124,4958,49,740,132,3,0,21,93,314,0,0,291,0,1133,240
NO2067,0,27,15,2,1,105,3108,91,843,115,0,0,21,41,294,2,0,104,0,181,7
NO2068,0,14,3,0,1,57,527,123,179,68,1,0,33,73,546,3,0,276,0,440,271
NO2069,0,7,3,0,1,47,1624,81,136,50,0,0,39,40,514,1,40,42,0.0145,495,411
NO2070,0,11,0,0,0,21,170,79,120,27,0,0,27,20,182,8,0,182,0,229,60
NO2071,0,24,1,1,0,30,75,14,75,44,0,2,43,100,207,5,0,209,0,31,31
NO2072,0,8,4,4,0,62,268,85,244,65,0,0,50,42,511,2,0,555,0,15,15
NO2073,0,30,1,1,6,19,89,89,89,33,0,0,36,53,323,1,0,111,0,172,172
NO2074,0,56,10,6,1,96,837,123,643,116,5,3,21,112,1192,3,0,1299,0,1109,1109
NO2075,0,58,12,2,2,225,5514,106,1005,238,0,0,21,60,391,2,0,405,0,207,49
NO2076,0,210,40,14,10,186,1369,399,1325,232,13,0,24,25,1669,1,49,1705,0.0082,157,77
NO2077,0,1,0,0,1,15,337,5,36,17,0,0,36,40,299,1,0,106,0,36,31
NO2078,0,27,3,1,0,153,3049,102,616,159,0,0,33,62,1092,0,0,398,0,1503,218
NO2079,0,31,5,4,0,82,908,42,251,94,1,0,26,46,239,1,0,244,0,1607,418
NO2080,0,16,8,4,0,57,979,90,601,64,9,0,21,31,191,0,4,65,0.0048,169,169
NO2081,0,50,16,4,0,107,2104,99,469,134,2,0,25,42,222,2,1,194,0.004,476,160
NO2082,0,1,1,1,1,21,59,39,58,24,0,0,36,43,204,1,0,213,0,3,3
NO2083,0,54,3,3,2,98,292,56,272,115,0,0,35,73,272,3,19,169,0.031,143,132
NO2084,0,74,5,4,3,152,1371,241,867,183,11,0,30,43,305,1,0,320,0,3346,152
NO2085,0,13,19,8,0,89,678,263,460,96,0,0,44,22,369,3,19,396,0.0202,73,73
NO2086,0,1,0,0,0,8,102,6,14,9,0,0,35,61,234,0,15,181,0.0433,964,169
NO2087,0,0,0,0,0,3,3,1,2,3,0,0,31,52,1864,0,3,50,0.0011,53,27
NO2088,0,3,0,0,0,19,211,17,97,19,0,1,21,32,329,1,0,41,0,62,45
NO2089,0,92,20,8,3,126,1742,299,1215,160,2,0,28,34,866,1,11,917,0.0073,146,146
NO2090,0,172,80,20,2,194,2534,228,1093,246,1,0,37,57,360,0,0,379,0,1420,727
NO2091,0,31,6,4,1,91,297,137,270,100,0,0,20,49,236,1,0,304,0,134,134
NO2092,0,16,14,4,3,68,2624,70,614,79,0,0,29,85,530,0,0,394,0,343,162
NO2093,0,0,0,0,0,4,462,248,248,4,0,0,29,17,287,3,6,212,0.0171,158,102
NO2094,0,31,1,1,0,81,946,44,214,81,0,0,33,59,2751,0,0,1947,0,2375,886
NO2095,0,4,0,0,0,9,18,18,18,13,0,0,26,45,509,1,14,528,0.0114,1497,409
NO2096,0,45,39,8,2,185,5133,130,857,194,0,0,30,76,1024,0,0,83,0,1283,271
NO2097,0,84,2,2,6,83,1572,343,540,101,0,1,28,65,1157,0,0,1182,0,745,46
NO2098,0,1,0,0,0,40,58,36,39,41,0,0,48,24,367,1,54,322,0.0587,282,103
NO2099,0,15,1,1,1,118,333,46,219,123,0,0,39,32,1125,2,135,98,0.0386,136,73
NO2100,0,3,0,0,1,20,38,38,38,25,1,1,32,53,294,0,0,307,0,237,237
NO2101,0,31,4,3,0,118,461,68,445,138,0,0,40,22,330,1,14,312,0.017,32,32
NO2102,0,32,5,3,1,187,800,99,664,206,0,0,21,60,232,1,0,204,0,674,197
NO2103,0,1,1,1,3,29,219,28,103,32,0,0,30,64,549,1,0,580,0,42,42
NO2104,0,9,2,1,0,42,1946,121,470,44,0,0,23,19,385,0,7,406,0.0048,56,55
NO2105,1,396,63,28,35,311,2747,800,2577,366,50,0,30,106,545,0,21,557,0.0197,43,43
NO2106,1,257,59,21,29,269,1922,768,1886,364,2,0,35,91,942,0,0,94,0,593,593
NO2107,1,60,22,5,2,132,2320,70,392,149,0,0,24,37,334,1,29,53,0.0146,1433,147
NO2108,0,201,9,6,2,255,1701,278,1624,366,1,1,24,63,464,0,4,484,0.0081,189,189
NO2109,0,4,0,0,0,12,25,18,24,17,0,0,36,39,433,1,42,362,0.0437,274,246
NO2110,0,2,0,0,0,11,26,20,20,14,0,0,37,31,485,1,0,506,0,88,88
NO2111,0,17,7,6,2,58,148,142,142,74,12,1,28,108,294,2,0,302,0,7,7
NO2112,0,8,2,1,0,19,51,35,49,24,0,0,30,38,169,3,0,65,0,72,72
NO2113,0,72,2,2,2,177,1696,103,475,222,1,0,26,37,841,2,66,238,0.0261,732,116
NO2114,0,15,8,5,2,67,131,61,125,83,0,0,38,63,215,0,44,269,0.037,89,89
NO2115,0,44,27,6,2,120,833,225,665,138,2,2,30,65,332,3,19,29,0.0145,180,180
NO2116,0,16,2,1,1,24,68,46,64,40,0,0,23,41,482,1,21,501,0.0178,553,406
NO2117,0,2,9,2,0,85,2310,35,337,87,1,0,27,49,584,2,1,604,0.0017,1411,1404
NO2118,0,27,16,8,2,98,1931,52,339,110,0,0,28,18,229,0,4,265,0.0075,,
NO2119,0,6,6,1,0,106,2418,46,583,109,0,0,41,69,835,1,17,125,0.0074,424,111
NO2120,0,10,1,1,0,51,101,99,99,59,0,0,27,15,512,4,0,537,0,,
NO2121,0,11,0,0,1,16,38,34,35,26,0,2,27,119,1269,0,0,21,0,1431,145
NO2122,0,15,3,1,3,79,343,66,320,86,0,0,27,61,469,1,0,320,0,296,184
NO2123,0,28,9,4,1,140,5457,131,998,156,1,1,22,71,1091,2,0,786,0,730,70
NO2124,0,72,53,6,0,346,951,201,803,372,0,0,21,53,159,3,4,131,0.0063,276,276
NO2125,0,8,5,3,0,27,54,52,52,36,0,0,28,41,97,1,0,130,0,30,30
NO2126,0,2,2,1,0,32,70,26,60,36,1,0,33,35,1358,1,0,1458,0,121,119
NO2127,0,0,1,1,1,38,1851,18,90,38,0,0,21,27,691,0,67,36,0.0317,1736,46
NO2128,0,68,56,11,2,95,3135,88,651,117,20,0,22,77,268,2,0,290,0,302,131
NO2129,0,63,5,3,1,159,2315,50,468,181,0,0,26,63,1563,0,4,1185,0.0018,332,176
NO2130,0,32,5,4,1,193,6181,94,1071,217,0,0,20,41,395,0,0,316,0,2037,345
NO2131,0,18,2,2,1,96,314,113,282,117,0,0,26,34,429,0,3,414,0.0044,75,49
NO2132,0,13,0,0,0,36,364,121,144,44,0,0,23,46,249,0,0,259,0,906,187
NO2133,0,124,25,7,2,168,1651,151,843,222,10,0,21,66,272,1,0,277,0,786,786
NO2134,0,35,16,7,2,81,2083,53,386,94,0,0,21,60,497,0,0,502,0,357,97
NO2135,0,5,1,1,0,15,55,29,55,21,0,0,21,37,374,3,0,387,0,16,16
NO2136,0,1,0,0,0,10,17,12,15,11,0,0,33,24,541,1,130,173,0.0452,81,8
NO2137,0,9,1,0,0,95,3158,85,695,102,0,0,48,49,583,0,0,457,0,343,328
NO2138,0,18,6,2,1,168,1015,157,648,171,0,0,29,44,273,0,0,283,0,32,32
NO2139,0,9,2,1,0,52,178,54,169,56,5,0,26,36,157,1,0,166,0,84,84
NO2140,0,20,2,2,0,67,151,34,121,85,1,0,34,57,213,2,0,62,0,140,30
NO2141,0,70,1,1,5,144,894,136,727,169,0,0,31,56,153,1,0,190,0,93,59
NO2142,0,79,6,6,0,147,538,167,529,193,0,0,28,28,447,6,0,494,0,129,129
NO2143,0,1,0,0,0,34,112,18,41,35,0,0,21,83,775,0,33,637,0.0147,309,242
